X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Gas.Volume Fraction.Trnavg, kla [ s^-1 ], Liquid.Velocity.Trnavg Axial [ m s^-1 ], Liquid.Velocity.Trnavg Radial [ m s^-1 ], Ostar [ kg m^-3 ], Radius [ m ]
-0.810191631,0.301190078,0.810191631,0.00685459562,0.140860811,0.0874945074,-0.185119569,0.401533127,0.021733366,1.14581311
-0.531633139,0.30136016,0.531633139,0.00308825588,0.148230374,0.104974322,-0.0839068666,-0.251722872,0.0213704146,0.753803015
-0.811547697,0.301838309,0.811547756,0.000177893569,0.140942782,0.0875311121,-0.184416562,0.405950427,0.0217339657,1.14776647
-0.812473476,0.302243888,0.812473476,0.00706169428,0.140888274,0.0874888822,-0.182914242,0.408210993,0.0217342731,1.14904583
0.533470273,0.304723024,-0.533470273,0.00422175229,0.15058282,0.105459072,-0.0971295238,-0.270143151,0.0213720929,0.754693925
0.536018908,0.305731952,-0.536018908,0.000760241004,0.151257545,0.10581544,-0.102492712,-0.267778128,0.0213799421,0.758307636
0.535672247,0.30815661,-0.535672247,0.0013011446,0.151886821,0.106436864,-0.102575317,-0.267944485,0.0213773288,0.757693172
0.532849967,0.308318585,-0.532849967,0.00266244193,0.151585907,0.106513664,-0.0954263136,-0.270559281,0.0213666186,0.753716469
0.551837444,0.311876267,-0.551837444,0.00498394715,0.154744536,0.107693836,-0.136874139,-0.236788318,0.0214180164,0.780443311
0.336197615,0.312381744,-0.336197615,0.00250273012,0.13728492,0.108374655,0.24266398,-0.216241404,0.0204847101,0.477206349
0.42636472,0.312599063,-0.42636469,0.00188973802,0.141315877,0.107403882,0.0940325633,-0.294182897,0.0209289975,0.603884339
0.400432885,0.314157724,-0.400432885,0.00183671375,0.140873522,0.10898219,0.141731724,-0.285809636,0.0207977742,0.566616833
-0.441688836,0.315640539,0.441688806,0.00275569619,0.142262071,0.107604831,0.0830892771,-0.274270386,0.0211087726,0.626313031
-0.0593884662,0.315822184,0.0593884662,0.00734752556,0.300422698,0.181702629,0.080440104,0.0663739592,0.0198719688,0.0957008228
-0.489454687,0.316211939,0.489454657,0.00174927921,0.147984207,0.109028846,0.000828750432,-0.264673948,0.021242151,0.692737401
-0.570986986,0.317178041,0.570986986,0.00528743304,0.157811761,0.110378206,-0.168066517,-0.196581677,0.0214366224,0.807960153
0.84133327,0.317493469,-0.84133333,0.00836497359,0.136610165,0.0853213519,-0.118200384,0.514196396,0.0219015311,1.19161093
0.364784241,0.318338007,-0.364784241,0.00177064887,0.140032351,0.109921396,0.194331929,-0.251150161,0.0206235219,0.516567707
-0.516081929,0.321658969,0.51608187,0.00182019349,0.152291819,0.110506169,-0.0531401411,-0.253303617,0.0213158391,0.730725169
0.280162901,0.324049175,-0.280162901,0.00542071741,0.144787401,0.113483265,0.328214079,-0.116535991,0.0202311184,0.401869297
-0.228851467,0.324170411,0.228851467,0.00538095925,0.161235631,0.120133631,0.322517693,0.0160821825,0.0201287474,0.327487946
1.03918731,0.326389939,-1.03918731,0.00309359375,0.0368384719,0.0207674298,0.424476415,0.607156038,0.0220001731,1.47091794
-0.530281782,0.326712936,0.530281782,0.00149032532,0.154937565,0.111472026,-0.0880266279,-0.237455457,0.0213499926,0.751101136
-1.04140341,0.327198207,1.04140341,0.00238609174,0.0357588045,0.0206865333,0.435667068,0.620446861,0.0219209492,1.47336447
-0.30578056,0.329354972,0.30578053,0.00259819906,0.142983645,0.112732984,0.321097553,-0.166987434,0.0204665624,0.433183849
0.533478022,0.331388712,-0.533478022,0.000912403397,0.157463938,0.112321444,-0.102351628,-0.257008314,0.0213555098,0.754475236
0.873792112,0.333960742,-0.873792052,0.00723013747,0.136445433,0.0851209611,-0.0659141093,0.59644258,0.0219096225,1.23714876
-0.308216333,0.334644169,0.308216363,0.00276929745,0.14483051,0.114525571,0.322354555,-0.173058972,0.0204728339,0.436434448
